id,created_at,numSlic,alphaSlic,street,city,state,zip,phone,directions
27,2023-11-19 00:20:05.717929+00,07M25,M25NJ,2525 Secaucus Rd,Secaucus,NJ,07094,,
28,2023-11-19 00:20:05.717929+00,07NML,NMLNJ,323 North Midland Ave,Saddlebrook,NJ,07663,,
29,2023-11-19 00:20:05.717929+00,07NRT,NRTNJ,493 County Ave,Secaucus,NJ,07094,,
30,2023-11-19 00:20:05.717929+00,0819,LAWNJ,301 East Oak Ave,Lawnside,NJ,08045,(856) 573-6380,lawnj.pdf
38,2023-11-19 00:20:05.717929+00,1014,MANNO,180 Canal Place,New York,NY,10451,(718) 585-8440,manno.pdf
40,2023-11-19 00:20:05.717929+00,1030,STATN,1331 Travis Ave,Staten Island,NY,10314,(718) 761-3409,
44,2023-11-19 00:20:05.717929+00,1075,1075,555 Tuckahoe Rd,Yonkers,NY,10710,,
46,2023-11-19 00:20:05.717929+00,1090,SVANY,31 Murray Hill Dr,Spring Valley,NY,10954,(845) 352-2731,
47,2023-11-19 00:20:05.717929+00,1096,BLVNY,700 Bradley Hill Rd,Blauvelt,NY,10913,,
48,2023-11-19 00:20:05.717929+00,1110,1110,4910 27th St,Long Island,NY,11101,(718) 361-6909,
49,2023-11-19 00:20:05.717929+00,1111,MQUNY,5002 55th Ave,Maspeth,NY,11378,(718) 706-3038,mquny.pdf
50,2023-11-19 00:20:05.717929+00,1119,ISLNY,4605 56th Rd,Maspeth,NY,11378,(718) 706-3038,islny.pdf
53,2023-11-19 00:20:05.717929+00,1164,1164,136-40 Springfield Blvd,Springfield Garden,NY,11413,(718) 481-1400,
54,2023-11-19 00:20:05.717929+00,1170,1170,980 Horse Block Rd,Farmingville,NY,11738,(631) 451-8435,
57,2023-11-19 00:20:05.717929+00,1249,KIGNY,300 Memorial Dr,Kingston,NY,12401,(845) 382-4042,
58,2023-11-19 00:20:05.717929+00,1250,HUDNY,319 Route 66,Hudson,NY,12534,(518) 828-2840,
59,2023-11-19 00:20:05.717929+00,1251,CHENY,1 Black Meadow Rd,Chester,NY,10918,(845) 469-2221,
60,2023-11-19 00:20:05.717929+00,1260,POUNY,41 Firemans Way,Poughkeepsie,NY,12603,(845) 454-4247,
61,2023-11-19 00:20:05.717929+00,1269,NWINY,139 Wembly Rd,New Windsor,NY,12553,(845) 562-5055,
64,2023-11-19 00:20:05.717929+00,1569,NEWPA,521 North Center Ave,New Stanton,PA,15672,(724) 925-4864,newpa.pdf
65,2023-11-19 00:20:05.717929+00,1689,CRLPA,1 Ames Dr,Carlisle,PA,17015,(717) 218-1901,crlpa.pdf
66,2023-11-19 00:20:05.717929+00,1709,MDTAS,100 Airport Dr,Middletown,PA,17057,(717) 944-2816,mdtas.pdf
67,2023-11-19 00:20:05.717929+00,1716,RUTPA,5050 Paxton St,Harrisburg,PA,17111,(717) 370-0609,rutpa.pdf
68,2023-11-19 00:20:05.717929+00,1719,HARPA,1821 S 19th St,Harrisburg,PA,17104,(717) 986-8423,harpa.pdf
69,2023-11-19 00:20:05.717929+00,1729,EZRPA,2110 N Union St,Middletown,PA,17057,(717) 974-5523,ezrpa.pdf
70,2023-11-19 00:20:05.717929+00,1759,LANPA,1155 Enterprise Rd,East Petersburg,PA,17520,(717) 560-6604,lanpa.pdf
72,2023-11-19 00:20:05.717929+00,1789,SUNPA,844 Point Township Dr,Northumberland,PA,17857,(570) 473-8899,
56,2023-11-19 00:20:05.717929+00,1229,ALBNY,24 Avis Dr,Latham,NY,12110,(518) 786-4271,albny.pdf
23,2023-11-19 00:20:05.717929+00,0789,BBRNJ,16 E Chimney Rock Rd,Bound Brook,NJ,08805,(732) 563-2146,bbrnj.pdf
41,2023-11-19 00:20:05.717929+00,1049,BRUNY,545 Brush Ave,Bronx,NY,10465,(718) 678-8125,bruny.pdf
35,2023-11-19 00:20:05.717929+00,0889,CRBNJ,100 Middlesex Center Blvd,Jamesburg,NJ,08831,(732) 521-6210,crbnj.pdf
12,2023-11-19 00:20:05.717929+00,0689,CRHCT,1 Market Circle,Windsor,CT,06095,(860) 688-1020,crhct.pdf
36,2023-11-19 00:20:05.717929+00,0899,EDINJ,1 Clover Pl,Edison,NJ,08837,(732) 417-3510,edinj.pdf
17,2023-11-19 00:20:05.717929+00,0729,EWR55,154 Brewster Rd,Newark,NJ,07114,(973) 776-5801,ewr55.pdf
51,2023-11-19 00:20:05.717929+00,1129,FOSNY,10401 Foster Ave,Brooklyn,NY,11236,(718) 270-7924,fosny.pdf
4,2023-11-19 00:20:05.717929+00,0619,HARCT,90 Locust St,Hartford,CT,06114,(860) 275-1912,harct.pdf
34,2023-11-19 00:20:05.717929+00,0871,LAKNJ,710 Vassar Ave,Lakewood,NJ,08701,(732) 905-3251,laknj.pdf
37,2023-11-19 00:20:05.717929+00,1009,M43NY,643 West 43rd St,New York,NY,10036,(212) 631-6238,m43ny.pdf
39,2023-11-19 00:20:05.717929+00,1029,MANNY,325 Spring St,New York,NY,10013,(917) 690-9928,manny.pdf
55,2023-11-19 00:20:05.717929+00,1189,MELNY,75 Smith St,Farmingdale,NY,11735,(631) 756-3873,melny.pdf
19,2023-11-19 00:20:05.717929+00,0749,MOLNJ,303 Waterloo Valley Rd,Mount Olive,NJ,07828,(973) 448-2640,molnj.pdf
45,2023-11-19 00:20:05.717929+00,1089,MOUNY,4215 Boston Post Rd,Bronx,NY,10466,(718) 325-8862,mouny.pdf
52,2023-11-19 00:20:05.717929+00,1159,NASNY,300 Oak St,Uniondale,NY,11553,(516) 237-6316,nasny.pdf
18,2023-11-19 00:20:05.717929+00,0746,NOBG,6201 Tonnelle Ave,North Bergen,NJ,07047,(201) 902-1002,nobg.pdf
24,2023-11-19 00:20:05.717929+00,0799,PARNJ,799 Jefferson Rd,Parsippany,NJ,07054,(973) 428-2287,parnj.pdf
63,2023-11-19 00:20:05.717929+00,1546,PGHRR,701 Wall Ave,Wall,PA,15148,(412) 229-3215,pghrr.pdf
31,2023-11-19 00:20:05.717929+00,0829,PLENJ,700 West Leeds Ave,Absecon,NJ,08201,(609) 646-1448,plenj.pdf
73,2023-11-19 00:20:05.717929+00,1790,POTPA,1 Industrial Dr,Saint Clair,PA,17970,(570) 429-2302,potpa.pdf
33,2023-11-19 00:20:05.717929+00,0869,TRENJ,4 Fairgrounds Rd,Hamilton,NJ,08619,(732) 417-3510,trenj.pdf
32,2023-11-19 00:20:05.717929+00,0839,VINNJ,3271 North Mill Rd,Vineland,NJ,08360,(856) 696-3090,vinnj.pdf
42,2023-11-19 00:20:05.717929+00,1050,YORNY,1785 Front St,Yorktown Heights,NY,10598,(914) 962-6051,yorny.pdf
74,2023-11-19 00:20:05.717929+00,1809,BETPA,1620 Van Buren Rd,Easton,PA,18045,(484) 291-2059,
75,2023-11-19 00:20:05.717929+00,1819,ALLPA,2301 Highland Ave,Bethlehem,PA,18017,(610) 974-7445,
77,2023-11-19 00:20:05.717929+00,1825,HBGRR,3500 Industrial Rd,Harrisburg,PA,17110,(717) 237-2547,hbgrr.pdf
78,2023-11-19 00:20:05.717929+00,1829,EASPA,3895 Eastgate Blvd,Easton,PA,18045,(610) 746-6042,
81,2023-11-19 00:20:05.717929+00,1869,WBAPA,111 Armstrong Rd,Pittston,PA,18641,(570) 883-9317,wbapa.pdf
82,2023-11-19 00:20:05.717929+00,18RY,BETRR,2400 Commerce Center Blvd,Bethlehem,PA,18015,(610) 974-9761,
84,2023-11-19 00:20:05.717929+00,1919,OREPA,15 Oregon Ave,Philadelphia,PA,19148,(215) 389-9169,orepa.pdf
85,2023-11-19 00:20:05.717929+00,1939,WCHPA,1200 Ward Ave,West Chester,PA,19380,(610) 430-6710,wchpa.pdf
86,2023-11-19 00:20:05.717929+00,1949,PHLPA,1 Hog Island Rd,Philadelphia,PA,19153,(215) 937-2572,phlpa.pdf
88,2023-11-19 00:20:05.717929+00,1974,NWCDE,721 Hamburg Rd,New Castle,DE,19720,(302) 595-0203,nwcde.pdf
89,2023-11-19 00:20:05.717929+00,1979,CHRDE,325 Ruthar Dr,Newark,DE,19711,(302) 456-6931,chrde.pdf
90,2023-11-19 00:20:05.717929+00,1999,HARDE,15994 S Dupont Highway,Harrington,DE,19952,(302) 398-7714,
91,2023-11-19 00:20:05.717929+00,20HL,HALMD,2000 Hammonds Ferry Rd,Halethorpe,MD,21227,,
92,2023-11-19 00:20:05.717929+00,2019,WASDC,8440 Ardwick-Ardmore Rd,Landover,MD,20785,(301) 386-8166,
93,2023-11-19 00:20:05.717929+00,2049,GAIMD,9401 Gaither Rd,Gaithersburg,MD,20877,(301) 330-7226,gaimd.pdf
94,2023-11-19 00:20:05.717929+00,2079,BURMD,14841 Sweitzer Ln,Laurel,MD,20707,(301) 604-4656,burmd.pdf
96,2023-11-19 00:20:05.717929+00,2129,BALMD,3901 Vero Rd,Baltimore,MD,21227,(410) 455-8240,balmd.pdf
97,2023-11-19 00:20:05.717929+00,2135,BOMD,4801 Keith Ave,Baltimore,MD,21224,(410) 633-6866,bomd.pdf
98,2023-11-19 00:20:05.717929+00,21NB,ELKMD,1400 Elkton Rd,Elkton,MD,21921,,
99,2023-11-19 00:20:05.717929+00,2209,DULVA,4455 Stonecroft Blvd,Chantilly,VA,20151,(703) 263-7535,
101,2023-11-19 00:20:05.717929+00,23PB,TOMVA,1014 Mt Olive Rd,Toms Brook,VA,22660,,
14,2023-11-19 00:20:05.717929+00,0703,0703,1200 Valley Brook Ave,Lyndhurst,NJ,07071,,0703.pdf
43,2023-11-19 00:20:05.717929+00,1069,ELMNY,3 Warehouse Ln,Elmsford,NY,10523,(212) 631-6238,elmny.pdf
76,2023-11-19 00:20:05.717929+00,1820,HOMPA,4 Liberty St,Tamaqua,PA,18252,(570) 668-6470,hompa.pdf
95,2023-11-19 00:20:05.717929+00,2119,HVAMD,14402 York Rd,Sparks,MD,21152,(410) 472-9540,hvamd.pdf
71,2023-11-19 00:20:05.717929+00,1769,MTLPA,298 Airport Dr,Middletown,PA,17057,(717) 944-8600,mtlpa.pdf
100,2023-11-19 00:20:05.717929+00,2249,NWTVA,8200 Alban Rd,Springfield,VA,22150,(703) 342-1515,nwtva.pdf
87,2023-11-19 00:20:05.717929+00,1969,REAPA,410 Reading Crest Ave,Reading,PA,19605,(610) 916-8257,reapa.pdf
80,2023-11-19 00:20:05.717929+00,1859,SCRPA,5 Stauffer Industrial Park,Taylor,PA,18517,(570) 562-4601,scrpa.pdf
102,2023-11-19 00:20:05.717929+00,2440,STAVA,74 Expo Rd,Fisherville,VA,22939,(540) 337-3133,stava.pdf
79,2023-11-19 00:20:05.717929+00,1830,STRPA,2129 Rockdale Ln,Stroudsburg,PA,18360,(570) 476-9335,strpa.pdf
62,2023-11-19 00:20:05.717929+00,1329,SYRNY,6975 Northern Blvd,East Syracuse,NY,13057,(315) 433-1683,syrny.pdf
83,2023-11-19 00:20:05.717929+00,1909,WILPA,700 Blair Mill Rd,Horsham,PA,19044,(215) 830-7900,wilpa.pdf
